x,y,z,vx,vy,vz
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
1.40915e-07,3.83032e-15,0,2.81829e-07,1.1491e-14,0
